Pallet: "pallet_im_online", Extrinsic: "validate_unsigned_and_then_heartbeat", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
k,e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
307,100,443499,7542,4,6,1,2
307,100,399845,6598,4,6,1,2
307,100,446598,7484,4,6,1,2
307,100,402394,6195,4,6,1,2
307,100,398763,6202,4,6,1,2
316,100,353754,6296,4,6,1,2
316,100,354256,5963,4,6,1,2
316,100,406322,6062,4,6,1,2
316,100,361951,6229,4,6,1,2
316,100,353971,6072,4,6,1,2
325,100,373346,6425,4,6,1,2
325,100,356190,5793,4,6,1,2
325,100,428544,6841,4,6,1,2
325,100,344264,6429,4,6,1,2
325,100,408373,6762,4,6,1,2
334,100,359654,5955,4,6,1,2
334,100,428275,9019,4,6,1,2
334,100,417355,6885,4,6,1,2
334,100,360877,5853,4,6,1,2
334,100,359868,6340,4,6,1,2
343,100,362205,5857,4,6,1,2
343,100,413326,5927,4,6,1,2
343,100,424663,6538,4,6,1,2
343,100,433874,6910,4,6,1,2
343,100,415495,6622,4,6,1,2
352,100,425387,7540,4,6,1,2
352,100,431717,7105,4,6,1,2
352,100,433811,6540,4,6,1,2
352,100,379441,7097,4,6,1,2
352,100,419535,7276,4,6,1,2
361,100,407070,6900,4,6,1,2
361,100,366363,6504,4,6,1,2
361,100,436223,7440,4,6,1,2
361,100,367316,6362,4,6,1,2
361,100,576424,7549,4,6,1,2
370,100,421449,6345,4,6,1,2
370,100,382153,6794,4,6,1,2
370,100,421289,6889,4,6,1,2
370,100,427782,6261,4,6,1,2
370,100,369832,6470,4,6,1,2
379,100,426447,7276,4,6,1,2
379,100,429903,6820,4,6,1,2
379,100,474123,7032,4,6,1,2
379,100,430244,6471,4,6,1,2
379,100,472675,7016,4,6,1,2
388,100,378624,5744,4,6,1,2
388,100,432863,6998,4,6,1,2
388,100,432536,6531,4,6,1,2
388,100,447647,7240,4,6,1,2
388,100,488589,6066,4,6,1,2
397,100,380357,6195,4,6,1,2
397,100,447975,7086,4,6,1,2
397,100,386937,6305,4,6,1,2
397,100,379050,6575,4,6,1,2
397,100,449026,6635,4,6,1,2
406,100,384145,6343,4,6,1,2
406,100,383503,6002,4,6,1,2
406,100,421035,6896,4,6,1,2
406,100,436604,6470,4,6,1,2
406,100,403864,6583,4,6,1,2
415,100,385665,6266,4,6,1,2
415,100,506407,7027,4,6,1,2
415,100,419858,6237,4,6,1,2
415,100,436105,6279,4,6,1,2
415,100,387442,6234,4,6,1,2
424,100,507433,7946,4,6,1,2
424,100,434351,6009,4,6,1,2
424,100,590478,10849,4,6,1,2
424,100,560427,8374,4,6,1,2
424,100,445987,6141,4,6,1,2
433,100,460837,6697,4,6,1,2
433,100,398566,5780,4,6,1,2
433,100,391658,6282,4,6,1,2
433,100,460460,6631,4,6,1,2
433,100,452636,6939,4,6,1,2
442,100,438550,6705,4,6,1,2
442,100,466712,7303,4,6,1,2
442,100,449912,7393,4,6,1,2
442,100,499380,17699,4,6,1,2
442,100,387352,6012,4,6,1,2
451,100,468701,6038,4,6,1,2
451,100,448208,6801,4,6,1,2
451,100,389307,6397,4,6,1,2
451,100,398031,6080,4,6,1,2
451,100,502403,7615,4,6,1,2
460,100,458704,7014,4,6,1,2
460,100,457497,6839,4,6,1,2
460,100,413479,6280,4,6,1,2
460,100,456840,7074,4,6,1,2
460,100,406836,7071,4,6,1,2
469,100,540598,7603,4,6,1,2
469,100,489429,7456,4,6,1,2
469,100,459069,7719,4,6,1,2
469,100,461559,6608,4,6,1,2
469,100,405705,6865,4,6,1,2
478,100,451325,6583,4,6,1,2
478,100,419175,6725,4,6,1,2
478,100,473202,7147,4,6,1,2
478,100,457170,6021,4,6,1,2
478,100,465047,7047,4,6,1,2
487,100,427880,6053,4,6,1,2
487,100,407153,6186,4,6,1,2
487,100,409938,6054,4,6,1,2
487,100,409007,6283,4,6,1,2
487,100,411559,5961,4,6,1,2
496,100,536455,14908,4,6,1,2
496,100,496472,7643,4,6,1,2
496,100,454068,6468,4,6,1,2
496,100,523825,7094,4,6,1,2
496,100,426729,6284,4,6,1,2
505,100,505835,7060,4,6,1,2
505,100,475045,6721,4,6,1,2
505,100,472181,7023,4,6,1,2
505,100,490576,6928,4,6,1,2
505,100,493931,7054,4,6,1,2
514,100,417530,6573,4,6,1,2
514,100,460059,6514,4,6,1,2
514,100,490489,7050,4,6,1,2
514,100,494003,7159,4,6,1,2
514,100,495435,7066,4,6,1,2
523,100,482448,6971,4,6,1,2
523,100,419637,5766,4,6,1,2
523,100,420951,6210,4,6,1,2
523,100,519437,6354,4,6,1,2
523,100,556458,7512,4,6,1,2
532,100,465266,7420,4,6,1,2
532,100,2080137,10012,4,6,1,2
532,100,573784,7934,4,6,1,2
532,100,501690,7264,4,6,1,2
532,100,483464,6652,4,6,1,2
541,100,504736,7421,4,6,1,2
541,100,527418,7073,4,6,1,2
541,100,507616,6748,4,6,1,2
541,100,556106,7506,4,6,1,2
541,100,429386,5951,4,6,1,2
550,100,430447,6864,4,6,1,2
550,100,427494,6533,4,6,1,2
550,100,505085,7419,4,6,1,2
550,100,519341,7389,4,6,1,2
550,100,506528,7171,4,6,1,2
559,100,428818,6293,4,6,1,2
559,100,430745,6680,4,6,1,2
559,100,432296,6934,4,6,1,2
559,100,457878,6878,4,6,1,2
559,100,498478,6382,4,6,1,2
568,100,433302,6571,4,6,1,2
568,100,500108,6525,4,6,1,2
568,100,448701,6208,4,6,1,2
568,100,488207,5827,4,6,1,2
568,100,497864,6609,4,6,1,2
577,100,447338,6899,4,6,1,2
577,100,481027,7185,4,6,1,2
577,100,501072,6954,4,6,1,2
577,100,470378,7938,4,6,1,2
577,100,482318,6803,4,6,1,2
586,100,506255,6688,4,6,1,2
586,100,556411,6983,4,6,1,2
586,100,577346,7130,4,6,1,2
586,100,537273,6932,4,6,1,2
586,100,484252,6552,4,6,1,2
595,100,483577,7288,4,6,1,2
595,100,507782,6615,4,6,1,2
595,100,476878,6004,4,6,1,2
595,100,441089,6030,4,6,1,2
595,100,453164,6567,4,6,1,2
604,100,453370,6428,4,6,1,2
604,100,605589,6911,4,6,1,2
604,100,510571,7198,4,6,1,2
604,100,506991,6229,4,6,1,2
604,100,528041,6501,4,6,1,2
613,100,500254,6727,4,6,1,2
613,100,575597,22824,4,6,1,2
613,100,526385,6652,4,6,1,2
613,100,495877,6769,4,6,1,2
613,100,584829,6640,4,6,1,2
622,100,489335,10110,4,6,1,2
622,100,504042,6029,4,6,1,2
622,100,465750,5999,4,6,1,2
622,100,564907,6454,4,6,1,2
622,100,530165,6786,4,6,1,2
631,100,531334,6582,4,6,1,2
631,100,539876,7227,4,6,1,2
631,100,616688,7702,4,6,1,2
631,100,524562,7089,4,6,1,2
631,100,572135,7687,4,6,1,2
640,100,461850,6461,4,6,1,2
640,100,466986,6660,4,6,1,2
640,100,555841,5974,4,6,1,2
640,100,553172,6711,4,6,1,2
640,100,526457,6190,4,6,1,2
649,100,464246,6392,4,6,1,2
649,100,529036,7512,4,6,1,2
649,100,600437,7312,4,6,1,2
649,100,555999,6718,4,6,1,2
649,100,553369,7495,4,6,1,2
658,100,665073,8472,4,6,1,2
658,100,567573,7770,4,6,1,2
658,100,626799,7618,4,6,1,2
658,100,485807,6703,4,6,1,2
658,100,466202,7096,4,6,1,2
667,100,549960,6916,4,6,1,2
667,100,535343,6755,4,6,1,2
667,100,523939,6459,4,6,1,2
667,100,551404,6669,4,6,1,2
667,100,490417,6350,4,6,1,2
676,100,481607,6216,4,6,1,2
676,100,519250,6893,4,6,1,2
676,100,500089,6620,4,6,1,2
676,100,469043,5699,4,6,1,2
676,100,487936,6210,4,6,1,2
685,100,477986,6153,4,6,1,2
685,100,471792,6476,4,6,1,2
685,100,631538,8052,4,6,1,2
685,100,551162,5875,4,6,1,2
685,100,472451,6270,4,6,1,2
694,100,605105,7745,4,6,1,2
694,100,556171,7069,4,6,1,2
694,100,569900,7441,4,6,1,2
694,100,554615,5857,4,6,1,2
694,100,548623,28027,4,6,1,2
703,100,484744,6364,4,6,1,2
703,100,555333,7793,4,6,1,2
703,100,478560,6842,4,6,1,2
703,100,495205,6474,4,6,1,2
703,100,479773,5944,4,6,1,2
712,100,648690,7300,4,6,1,2
712,100,550031,6682,4,6,1,2
712,100,636036,8131,4,6,1,2
712,100,480463,6015,4,6,1,2
712,100,617775,6704,4,6,1,2
721,100,538383,7869,4,6,1,2
721,100,570067,6995,4,6,1,2
721,100,483783,6588,4,6,1,2
721,100,483438,6188,4,6,1,2
721,100,646462,8157,4,6,1,2
730,100,484805,6760,4,6,1,2
730,100,569584,6856,4,6,1,2
730,100,486554,6027,4,6,1,2
730,100,536819,6550,4,6,1,2
730,100,485967,6839,4,6,1,2
739,100,642066,6499,4,6,1,2
739,100,620382,7612,4,6,1,2
739,100,534729,6895,4,6,1,2
739,100,507985,6412,4,6,1,2
739,100,519758,6560,4,6,1,2
748,100,494101,6333,4,6,1,2
748,100,619374,7261,4,6,1,2
748,100,534390,6117,4,6,1,2
748,100,599912,6716,4,6,1,2
748,100,480297,5912,4,6,1,2
757,100,581864,6543,4,6,1,2
757,100,496832,21949,4,6,1,2
757,100,495634,6684,4,6,1,2
757,100,522358,6109,4,6,1,2
757,100,602288,7289,4,6,1,2
766,100,530654,6331,4,6,1,2
766,100,571121,6725,4,6,1,2
766,100,501693,6739,4,6,1,2
766,100,585229,6996,4,6,1,2
766,100,583479,7137,4,6,1,2
775,100,561335,7409,4,6,1,2
775,100,534755,7490,4,6,1,2
775,100,575084,7488,4,6,1,2
775,100,516114,6204,4,6,1,2
775,100,686715,7996,4,6,1,2
784,100,745751,7634,4,6,1,2
784,100,489298,6567,4,6,1,2
784,100,581945,7187,4,6,1,2
784,100,499485,6223,4,6,1,2
784,100,579783,7030,4,6,1,2
793,100,591661,6431,4,6,1,2
793,100,539465,7028,4,6,1,2
793,100,584905,6986,4,6,1,2
793,100,651205,8606,4,6,1,2
793,100,556811,6234,4,6,1,2
802,100,508017,6501,4,6,1,2
802,100,510230,6333,4,6,1,2
802,100,586058,6974,4,6,1,2
802,100,539924,6686,4,6,1,2
802,100,508225,6591,4,6,1,2
811,100,760234,23517,4,6,1,2
811,100,525510,6602,4,6,1,2
811,100,615217,7040,4,6,1,2
811,100,512617,6146,4,6,1,2
811,100,626835,7662,4,6,1,2
820,100,611445,6986,4,6,1,2
820,100,782675,8705,4,6,1,2
820,100,517540,6278,4,6,1,2
820,100,583785,6667,4,6,1,2
820,100,516508,7133,4,6,1,2
829,100,518781,5770,4,6,1,2
829,100,651121,7483,4,6,1,2
829,100,555379,6140,4,6,1,2
829,100,1133886,11438,4,6,1,2
829,100,604310,6437,4,6,1,2
838,100,597926,6846,4,6,1,2
838,100,677456,7149,4,6,1,2
838,100,602843,7678,4,6,1,2
838,100,521581,6369,4,6,1,2
838,100,523659,6129,4,6,1,2
847,100,521370,6165,4,6,1,2
847,100,600914,6572,4,6,1,2
847,100,547793,5962,4,6,1,2
847,100,523109,5980,4,6,1,2
847,100,606032,6579,4,6,1,2
856,100,578742,7013,4,6,1,2
856,100,606009,6806,4,6,1,2
856,100,614827,6988,4,6,1,2
856,100,563133,7194,4,6,1,2
856,100,575200,7429,4,6,1,2
865,100,526662,6186,4,6,1,2
865,100,607906,6648,4,6,1,2
865,100,536000,6275,4,6,1,2
865,100,567560,6778,4,6,1,2
865,100,688244,9102,4,6,1,2
874,100,613247,7026,4,6,1,2
874,100,740132,6302,4,6,1,2
874,100,679195,6579,4,6,1,2
874,100,589284,6199,4,6,1,2
874,100,629290,6806,4,6,1,2
883,100,537345,6389,4,6,1,2
883,100,613493,6646,4,6,1,2
883,100,621127,7602,4,6,1,2
883,100,533854,6091,4,6,1,2
883,100,702121,10527,4,6,1,2
892,100,667097,8051,4,6,1,2
892,100,668875,6966,4,6,1,2
892,100,626868,7047,4,6,1,2
892,100,626682,6022,4,6,1,2
892,100,708435,6758,4,6,1,2
901,100,638712,7391,4,6,1,2
901,100,595338,6681,4,6,1,2
901,100,542309,6424,4,6,1,2
901,100,624292,6770,4,6,1,2
901,100,669480,7354,4,6,1,2
910,100,561773,6259,4,6,1,2
910,100,677087,6918,4,6,1,2
910,100,702784,7826,4,6,1,2
910,100,581938,6921,4,6,1,2
910,100,593814,6702,4,6,1,2
919,100,621894,6541,4,6,1,2
919,100,545404,5995,4,6,1,2
919,100,600385,6563,4,6,1,2
919,100,581278,5955,4,6,1,2
919,100,611836,6402,4,6,1,2
928,100,571187,6220,4,6,1,2
928,100,553339,6147,4,6,1,2
928,100,547533,6172,4,6,1,2
928,100,628946,6038,4,6,1,2
928,100,600822,7113,4,6,1,2
937,100,647434,7365,4,6,1,2
937,100,663085,7002,4,6,1,2
937,100,799773,7413,4,6,1,2
937,100,551638,5954,4,6,1,2
937,100,694899,16495,4,6,1,2
946,100,642229,6299,4,6,1,2
946,100,642826,6579,4,6,1,2
946,100,558510,5835,4,6,1,2
946,100,880299,7828,4,6,1,2
946,100,821190,7563,4,6,1,2
955,100,613109,6330,4,6,1,2
955,100,568836,6667,4,6,1,2
955,100,666526,7221,4,6,1,2
955,100,589552,6800,4,6,1,2
955,100,639389,6706,4,6,1,2
964,100,645866,7363,4,6,1,2
964,100,652071,6179,4,6,1,2
964,100,600253,6912,4,6,1,2
964,100,641595,6871,4,6,1,2
964,100,574237,6267,4,6,1,2
973,100,674576,7147,4,6,1,2
973,100,587222,6406,4,6,1,2
973,100,576393,6164,4,6,1,2
973,100,683558,7394,4,6,1,2
973,100,656626,7050,4,6,1,2
982,100,750875,7185,4,6,1,2
982,100,716529,7118,4,6,1,2
982,100,675379,7190,4,6,1,2
982,100,647742,6807,4,6,1,2
982,100,675583,6834,4,6,1,2
991,100,655361,6436,4,6,1,2
991,100,586451,6554,4,6,1,2
991,100,668118,7234,4,6,1,2
991,100,707502,6495,4,6,1,2
991,100,644751,6160,4,6,1,2
1000,100,692001,8127,4,6,1,2
1000,100,654292,7222,4,6,1,2
1000,100,642018,7000,4,6,1,2
1000,100,600655,21906,4,6,1,2
1000,100,713603,7389,4,6,1,2
1000,1,568484,7054,4,6,1,2
1000,1,545279,7026,4,6,1,2
1000,1,495322,6039,4,6,1,2
1000,1,581303,7026,4,6,1,2
1000,1,639517,7246,4,6,1,2
1000,2,577161,5926,4,6,1,2
1000,2,691164,7636,4,6,1,2
1000,2,567457,6607,4,6,1,2
1000,2,570150,7018,4,6,1,2
1000,2,535604,5852,4,6,1,2
1000,3,608690,7136,4,6,1,2
1000,3,568162,6866,4,6,1,2
1000,3,568810,6669,4,6,1,2
1000,3,565505,7107,4,6,1,2
1000,3,569955,7147,4,6,1,2
1000,4,627560,7339,4,6,1,2
1000,4,499959,10784,4,6,1,2
1000,4,570794,6812,4,6,1,2
1000,4,501463,6087,4,6,1,2
1000,4,496741,5673,4,6,1,2
1000,5,499690,6748,4,6,1,2
1000,5,574772,6641,4,6,1,2
1000,5,579731,6319,4,6,1,2
1000,5,545417,6464,4,6,1,2
1000,5,543325,6415,4,6,1,2
1000,6,574617,7155,4,6,1,2
1000,6,610136,7788,4,6,1,2
1000,6,499690,7130,4,6,1,2
1000,6,498874,6575,4,6,1,2
1000,6,544499,6671,4,6,1,2
1000,7,569205,6881,4,6,1,2
1000,7,545894,22521,4,6,1,2
1000,7,574800,7071,4,6,1,2
1000,7,522441,7096,4,6,1,2
1000,7,566979,6030,4,6,1,2
1000,8,612517,7543,4,6,1,2
1000,8,508872,6354,4,6,1,2
1000,8,635594,7345,4,6,1,2
1000,8,576010,6590,4,6,1,2
1000,8,498022,5772,4,6,1,2
1000,9,507236,6589,4,6,1,2
1000,9,532839,6556,4,6,1,2
1000,9,580737,6732,4,6,1,2
1000,9,581181,6877,4,6,1,2
1000,9,503103,6464,4,6,1,2
1000,10,503522,5891,4,6,1,2
1000,10,506606,5974,4,6,1,2
1000,10,654769,7829,4,6,1,2
1000,10,578906,6683,4,6,1,2
1000,10,650949,7721,4,6,1,2
1000,11,605334,7486,4,6,1,2
1000,11,602517,7506,4,6,1,2
1000,11,543326,6588,4,6,1,2
1000,11,525504,6003,4,6,1,2
1000,11,588765,6681,4,6,1,2
1000,12,582408,7092,4,6,1,2
1000,12,646775,7946,4,6,1,2
1000,12,582177,6866,4,6,1,2
1000,12,621858,6899,4,6,1,2
1000,12,508186,6417,4,6,1,2
1000,13,506376,8567,4,6,1,2
1000,13,547352,9448,4,6,1,2
1000,13,576006,5979,4,6,1,2
1000,13,550434,6852,4,6,1,2
1000,13,646202,6170,4,6,1,2
1000,14,567927,6273,4,6,1,2
1000,14,552111,6525,4,6,1,2
1000,14,579000,6646,4,6,1,2
1000,14,613680,7078,4,6,1,2
1000,14,583829,7230,4,6,1,2
1000,15,620781,7783,4,6,1,2
1000,15,582155,6659,4,6,1,2
1000,15,580940,6892,4,6,1,2
1000,15,587992,6977,4,6,1,2
1000,15,510217,6528,4,6,1,2
1000,16,648914,6398,4,6,1,2
1000,16,570909,7654,4,6,1,2
1000,16,601262,7339,4,6,1,2
1000,16,547906,6584,4,6,1,2
1000,16,946127,11389,4,6,1,2
1000,17,510294,6058,4,6,1,2
1000,17,508877,6429,4,6,1,2
1000,17,585536,7447,4,6,1,2
1000,17,644518,7418,4,6,1,2
1000,17,596051,5989,4,6,1,2
1000,18,572139,6175,4,6,1,2
1000,18,513100,7245,4,6,1,2
1000,18,508605,5842,4,6,1,2
1000,18,575802,7253,4,6,1,2
1000,18,644274,6913,4,6,1,2
1000,19,589653,6343,4,6,1,2
1000,19,599948,6971,4,6,1,2
1000,19,544438,7498,4,6,1,2
1000,19,586876,6870,4,6,1,2
1000,19,631068,7827,4,6,1,2
1000,20,623758,6994,4,6,1,2
1000,20,515471,6481,4,6,1,2
1000,20,526451,6486,4,6,1,2
1000,20,579797,6749,4,6,1,2
1000,20,513329,6136,4,6,1,2
1000,21,516366,6674,4,6,1,2
1000,21,599690,7252,4,6,1,2
1000,21,660765,6536,4,6,1,2
1000,21,584954,6925,4,6,1,2
1000,21,592165,6646,4,6,1,2
1000,22,512436,6490,4,6,1,2
1000,22,586093,6369,4,6,1,2
1000,22,513338,5888,4,6,1,2
1000,22,579312,6596,4,6,1,2
1000,22,653593,7098,4,6,1,2
1000,23,569260,6787,4,6,1,2
1000,23,634589,6878,4,6,1,2
1000,23,514971,6714,4,6,1,2
1000,23,523217,6740,4,6,1,2
1000,23,615108,7027,4,6,1,2
1000,24,537570,6380,4,6,1,2
1000,24,590369,7304,4,6,1,2
1000,24,513706,6584,4,6,1,2
1000,24,598397,6853,4,6,1,2
1000,24,589754,7121,4,6,1,2
1000,25,573860,5974,4,6,1,2
1000,25,592939,7110,4,6,1,2
1000,25,685263,7756,4,6,1,2
1000,25,600765,6506,4,6,1,2
1000,25,518499,6496,4,6,1,2
1000,26,558239,6398,4,6,1,2
1000,26,561324,5998,4,6,1,2
1000,26,651195,7663,4,6,1,2
1000,26,512999,5864,4,6,1,2
1000,26,573503,6711,4,6,1,2
1000,27,559686,6933,4,6,1,2
1000,27,516129,6148,4,6,1,2
1000,27,619006,6778,4,6,1,2
1000,27,519065,6517,4,6,1,2
1000,27,528520,6277,4,6,1,2
1000,28,517030,6060,4,6,1,2
1000,28,603245,6533,4,6,1,2
1000,28,684408,8050,4,6,1,2
1000,28,526777,6251,4,6,1,2
1000,28,725349,7552,4,6,1,2
1000,29,591315,6569,4,6,1,2
1000,29,518502,6190,4,6,1,2
1000,29,591264,7121,4,6,1,2
1000,29,595735,6685,4,6,1,2
1000,29,589353,6778,4,6,1,2
1000,30,518029,6333,4,6,1,2
1000,30,662270,7541,4,6,1,2
1000,30,595680,6973,4,6,1,2
1000,30,520038,6106,4,6,1,2
1000,30,617489,7483,4,6,1,2
1000,31,657544,7509,4,6,1,2
1000,31,522414,6812,4,6,1,2
1000,31,594923,6897,4,6,1,2
1000,31,595698,6545,4,6,1,2
1000,31,520731,5974,4,6,1,2
1000,32,578450,7144,4,6,1,2
1000,32,519613,6468,4,6,1,2
1000,32,723847,7262,4,6,1,2
1000,32,598442,7435,4,6,1,2
1000,32,658685,6709,4,6,1,2
1000,33,621336,7220,4,6,1,2
1000,33,633470,6614,4,6,1,2
1000,33,629390,6615,4,6,1,2
1000,33,595002,7563,4,6,1,2
1000,33,557743,6275,4,6,1,2
1000,34,523583,6050,4,6,1,2
1000,34,523136,5998,4,6,1,2
1000,34,511808,6118,4,6,1,2
1000,34,534277,5965,4,6,1,2
1000,34,603032,6515,4,6,1,2
1000,35,549849,6631,4,6,1,2
1000,35,527370,6255,4,6,1,2
1000,35,524347,5953,4,6,1,2
1000,35,626138,7056,4,6,1,2
1000,35,797571,10381,4,6,1,2
1000,36,525359,6131,4,6,1,2
1000,36,523723,6342,4,6,1,2
1000,36,560593,6016,4,6,1,2
1000,36,524413,6208,4,6,1,2
1000,36,524713,6492,4,6,1,2
1000,37,620914,7173,4,6,1,2
1000,37,606212,6924,4,6,1,2
1000,37,564980,7093,4,6,1,2
1000,37,674721,7532,4,6,1,2
1000,37,664004,7726,4,6,1,2
1000,38,532997,6558,4,6,1,2
1000,38,605247,6125,4,6,1,2
1000,38,604621,7784,4,6,1,2
1000,38,605730,7095,4,6,1,2
1000,38,543905,6589,4,6,1,2
1000,39,636394,7164,4,6,1,2
1000,39,637200,7095,4,6,1,2
1000,39,608474,6588,4,6,1,2
1000,39,531017,6085,4,6,1,2
