Pallet: "pallet_staking", Extrinsic: "payout_stakers_alive_controller", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
1321,373585,12660,13,7,4,3
1341,364153,10452,13,7,4,3
1341,522140,11208,13,7,4,3
1341,384056,10961,13,7,4,3
1341,358584,13306,13,7,4,3
1341,375020,10600,13,7,4,3
1361,370970,8141,13,7,4,3
1361,400210,7998,13,7,4,3
1361,358234,6943,13,7,4,3
1361,327495,6627,13,7,4,3
1361,384906,7410,13,7,4,3
1381,331629,6738,13,7,4,3
1381,374705,7801,13,7,4,3
1381,372605,8559,13,7,4,3
1381,367542,7412,13,7,4,3
1381,340271,10720,13,7,4,3
1401,335366,9620,13,7,4,3
1401,330743,9868,13,7,4,3
1401,372841,11274,13,7,4,3
1401,366535,24745,13,7,4,3
1401,379131,7456,13,7,4,3
1421,393919,7788,13,7,4,3
1421,388535,8146,13,7,4,3
1421,364635,8396,13,7,4,3
1421,382080,7190,13,7,4,3
1421,369190,7457,13,7,4,3
1441,342612,7996,13,7,4,3
1441,377677,7638,13,7,4,3
1441,380002,7127,13,7,4,3
1441,407897,8149,13,7,4,3
1441,344450,7867,13,7,4,3
1461,428993,8343,13,7,4,3
1461,382047,10459,13,7,4,3
1461,379304,11703,13,7,4,3
1461,368938,7110,13,7,4,3
1461,435847,16732,13,7,4,3
1481,409317,12073,13,7,4,3
1481,393523,10383,13,7,4,3
1481,363977,11419,13,7,4,3
1481,372293,11736,13,7,4,3
1481,391122,21264,13,7,4,3
1501,381494,12277,13,7,4,3
1501,380681,11586,13,7,4,3
1501,395372,14193,13,7,4,3
1501,371574,7608,13,7,4,3
1501,365540,7462,13,7,4,3
1521,347053,10780,13,7,4,3
1521,379583,8210,13,7,4,3
1521,367034,11569,13,7,4,3
1521,378431,10680,13,7,4,3
1521,367967,10801,13,7,4,3
1541,371025,6773,13,7,4,3
1541,405397,11774,13,7,4,3
1541,338882,7157,13,7,4,3
1541,365781,11605,13,7,4,3
1541,383505,11094,13,7,4,3
1561,330572,10430,13,7,4,3
1561,329141,7147,13,7,4,3
1561,399267,7344,13,7,4,3
1561,335096,10413,13,7,4,3
1561,372841,12824,13,7,4,3
1581,371188,25763,13,7,4,3
1581,350601,9931,13,7,4,3
1581,331161,9389,13,7,4,3
1581,339804,10914,13,7,4,3
1581,404579,10418,13,7,4,3
1601,448118,11531,13,7,4,3
1601,376968,7842,13,7,4,3
1601,421920,11018,13,7,4,3
1601,336277,10319,13,7,4,3
1601,399224,10736,13,7,4,3
1621,372663,24429,13,7,4,3
1621,416984,11148,13,7,4,3
1621,372582,10975,13,7,4,3
1621,376051,19090,13,7,4,3
1621,341479,9436,13,7,4,3
1641,335624,10339,13,7,4,3
1641,428609,10068,13,7,4,3
1641,357204,10968,13,7,4,3
1641,369955,10546,13,7,4,3
1641,338456,10372,13,7,4,3
1661,383177,11197,13,7,4,3
1661,366287,9983,13,7,4,3
1661,382433,9430,13,7,4,3
1661,333291,11786,13,7,4,3
1661,422290,33621,13,7,4,3
1681,371397,10778,13,7,4,3
1681,330084,10086,13,7,4,3
1681,389724,11434,13,7,4,3
1681,362812,11500,13,7,4,3
1681,369262,12038,13,7,4,3
1701,452270,9973,13,7,4,3
1701,383807,22843,13,7,4,3
1701,360480,11230,13,7,4,3
1701,385420,11330,13,7,4,3
1701,364972,10762,13,7,4,3
1721,418200,12128,13,7,4,3
1721,372421,9431,13,7,4,3
1721,342677,10344,13,7,4,3
1721,372084,13401,13,7,4,3
1721,347881,10830,13,7,4,3
1741,379031,10329,13,7,4,3
1741,385058,10267,13,7,4,3
1741,385165,10856,13,7,4,3
1741,340033,10229,13,7,4,3
1741,409679,12342,13,7,4,3
1761,399500,7999,13,7,4,3
1761,332489,10288,13,7,4,3
1761,455900,12221,13,7,4,3
1761,375567,10757,13,7,4,3
1761,332314,10634,13,7,4,3
1781,336145,10407,13,7,4,3
1781,368132,11594,13,7,4,3
1781,396217,12073,13,7,4,3
1781,337469,10135,13,7,4,3
1781,370601,10859,13,7,4,3
1801,426196,7961,13,7,4,3
1801,369898,7520,13,7,4,3
1801,341381,8321,13,7,4,3
1801,427804,13159,13,7,4,3
1801,331345,9975,13,7,4,3
1821,328036,7732,13,7,4,3
1821,352346,9861,13,7,4,3
1821,375172,11548,13,7,4,3
1821,338184,9993,13,7,4,3
1821,354910,9093,13,7,4,3
1841,395614,10390,13,7,4,3
1841,357576,10436,13,7,4,3
1841,346669,10843,13,7,4,3
1841,374270,10189,13,7,4,3
1841,341798,9975,13,7,4,3
1861,354147,23846,13,7,4,3
1861,384921,12347,13,7,4,3
1861,381625,10749,13,7,4,3
1861,338840,10890,13,7,4,3
1861,355565,10707,13,7,4,3
1881,394766,10510,13,7,4,3
1881,375678,10744,13,7,4,3
1881,518928,10741,13,7,4,3
1881,538484,14144,13,7,4,3
1881,379116,10225,13,7,4,3
1901,444553,8251,13,7,4,3
1901,337596,10791,13,7,4,3
1901,390403,8191,13,7,4,3
1901,393311,7337,13,7,4,3
1901,381427,7155,13,7,4,3
1921,426163,21966,13,7,4,3
1921,349243,10554,13,7,4,3
1921,387010,10425,13,7,4,3
1921,368396,12683,13,7,4,3
1921,489048,10294,13,7,4,3
1941,341019,11182,13,7,4,3
1941,392932,13315,13,7,4,3
1941,364639,22524,13,7,4,3
1941,418971,10592,13,7,4,3
1941,391021,11205,13,7,4,3
1961,361423,9815,13,7,4,3
1961,405338,9671,13,7,4,3
1961,389554,10621,13,7,4,3
1961,375539,10852,13,7,4,3
1961,336799,11814,13,7,4,3
1981,386619,7455,13,7,4,3
1981,402643,7739,13,7,4,3
1981,343579,9896,13,7,4,3
1981,341253,11139,13,7,4,3
1981,380350,8242,13,7,4,3
2001,376114,7161,13,7,4,3
2001,381175,8083,13,7,4,3
2001,386143,6968,13,7,4,3
2001,378798,8060,13,7,4,3
2001,401443,7246,13,7,4,3
2021,339602,7881,13,7,4,3
2021,387744,8064,13,7,4,3
2021,383034,7713,13,7,4,3
2021,407301,7087,13,7,4,3
2021,405761,7425,13,7,4,3
2041,342101,6684,13,7,4,3
2041,337559,6914,13,7,4,3
2041,350203,7729,13,7,4,3
2041,366225,6689,13,7,4,3
2041,384208,7786,13,7,4,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    394.9
    + n        0
              µs

Reads = 13 + (0 * n)
Writes = 4 + (0 * n)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    n   mean µs  sigma µs       %
    1     481.3      21.9    4.5%
   21     481.1     20.11    4.1%
   41     439.5     12.73    2.8%
   61     500.5      24.5    4.8%
   81     499.5     15.91    3.1%
  101     452.2     18.33    4.0%
  121     509.7     22.07    4.3%
  141     429.9     27.98    6.5%
  161     384.3     20.23    5.2%
  181     364.4     20.87    5.7%
  201     409.1      24.9    6.0%
  221     393.4     28.36    7.2%
  241     380.8     21.83    5.7%
  261     453.9     36.62    8.0%
  281     385.3      24.2    6.2%
  301     480.5     21.74    4.5%
  321       350     19.38    5.5%
  341     337.3     4.986    1.4%
  361     383.2     19.66    5.1%
  381     388.5     15.59    4.0%
  401     415.2     55.35   13.3%
  421     360.1      19.6    5.4%
  441     386.5     7.826    2.0%
  461     339.2       3.9    1.1%
  481     385.8     13.52    3.5%
  501     373.3     14.93    4.0%
  521     372.3      2.32    0.6%
  541     400.2     28.13    7.0%
  561     370.5     26.85    7.2%
  581     359.8     14.16    3.9%
  601       369     3.253    0.8%
  621     355.8     13.92    3.9%
  641     356.9     18.45    5.1%
  661     356.1     15.66    4.3%
  681     374.9     4.664    1.2%
  701     373.6     5.061    1.3%
  721     354.9     21.76    6.1%
  741     411.9     15.57    3.7%
  761     384.8     16.79    4.3%
  781     383.8     3.652    0.9%
  801     342.3     4.041    1.1%
  821     375.5     28.67    7.6%
  841     369.9     18.85    5.0%
  861     396.2      25.8    6.5%
  881     384.1     11.42    2.9%
  901     367.9     36.72    9.9%
  921       367      21.3    5.8%
  941     398.9     12.46    3.1%
  961     368.9     31.96    8.6%
  981     353.4      16.7    4.7%
 1001     361.7     16.48    4.5%
 1021     367.5     0.959    0.2%
 1041       372     17.74    4.7%
 1061     361.9     9.529    2.6%
 1081     361.4     19.37    5.3%
 1101     356.2      11.3    3.1%
 1121     376.9     9.637    2.5%
 1141     383.3     31.12    8.1%
 1161     350.5     21.69    6.1%
 1181     423.5     41.65    9.8%
 1201     361.7     21.27    5.8%
 1221     372.1     2.496    0.6%
 1241     365.9     23.84    6.5%
 1261     354.1     16.85    4.7%
 1281     354.7     10.86    3.0%
 1301     384.8     14.44    3.7%
 1321     353.4     14.26    4.0%
 1341     374.4     8.136    2.1%
 1361     371.3     10.89    2.9%
 1381     360.1      14.2    3.9%
 1401     358.2     16.38    4.5%
 1421     379.9     8.041    2.1%
 1441     367.3     16.23    4.4%
 1461     396.7      22.8    5.7%
 1481     385.6     9.492    2.4%
 1501     377.9     4.496    1.1%
 1521     371.1     5.166    1.3%
 1541     373.4     7.434    1.9%
 1561     346.1     18.94    5.4%
 1581     353.8     13.01    3.6%
 1601     399.3     18.35    4.5%
 1621     373.7     1.616    0.4%
 1641     355.2     12.93    3.6%
 1661     377.2     7.792    2.0%
 1681     367.8     3.649    0.9%
 1701       378     9.282    2.4%
 1721     364.1     11.48    3.1%
 1741       383     2.866    0.7%
 1761     369.1     27.72    7.5%
 1781     358.7     15.07    4.2%
 1801     379.1     35.23    9.2%
 1821     348.4     7.355    2.1%
 1841     359.5     11.35    3.1%
 1861     363.7     12.63    3.4%
 1881     430.9     62.54   14.5%
 1901     388.3     5.058    1.3%
 1921     393.8     24.07    6.1%
 1941     382.8     12.91    3.3%
 1961     375.5     11.48    3.0%
 1981     370.1     18.98    5.1%
 2001       382      3.06    0.8%
 2021     392.1     9.794    2.4%
 2041     352.8     10.02    2.8%

Quality and confidence:
param     error
n         0.003

Model:
Time ~=    408.9
    + n        0
              µs

Reads = 13 + (0 * n)
Writes = 4 + (0 * n)
