Pallet: "pallet_checkpoint", Extrinsic: "remove_schedule", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
30,169759,4871,9,8,2,2
30,185350,4989,9,8,2,2
31,189776,5841,9,8,2,2
31,169783,5283,9,8,2,2
31,146697,4667,9,8,2,2
31,157194,4533,9,8,2,2
31,174669,4476,9,8,2,2
32,189693,6111,9,8,2,2
32,172026,5177,9,8,2,2
32,148232,4669,9,8,2,2
32,148458,4667,9,8,2,2
32,171585,5800,9,8,2,2
33,175468,7364,9,8,2,2
33,316240,8530,9,8,2,2
33,183509,5267,9,8,2,2
33,147865,4482,9,8,2,2
33,166342,4226,9,8,2,2
34,151420,4992,9,8,2,2
34,175076,5347,9,8,2,2
34,175151,5165,9,8,2,2
34,173134,4841,9,8,2,2
34,201786,4974,9,8,2,2
35,171791,5279,9,8,2,2
35,200509,5167,9,8,2,2
35,172416,5050,9,8,2,2
35,170620,5198,9,8,2,2
35,171754,5091,9,8,2,2
36,174855,5183,9,8,2,2
36,143994,4109,9,8,2,2
36,190129,5021,9,8,2,2
36,191544,5493,9,8,2,2
36,149831,4175,9,8,2,2
37,148915,4690,9,8,2,2
37,173471,5493,9,8,2,2
37,150189,4574,9,8,2,2
37,177576,5969,9,8,2,2
37,205787,4731,9,8,2,2
38,175677,7148,9,8,2,2
38,152915,5046,9,8,2,2
38,174158,5514,9,8,2,2
38,176339,5859,9,8,2,2
38,176131,5586,9,8,2,2
39,195174,7071,9,8,2,2
39,178625,6007,9,8,2,2
39,177137,4685,9,8,2,2
39,221817,5526,9,8,2,2
39,193307,5424,9,8,2,2
40,175571,6001,9,8,2,2
40,192705,5861,9,8,2,2
40,176006,5310,9,8,2,2
40,174106,5036,9,8,2,2
40,173311,5084,9,8,2,2
41,157568,4508,9,8,2,2
41,172862,4702,9,8,2,2
41,192670,5315,9,8,2,2
41,193481,5531,9,8,2,2
41,203636,7031,9,8,2,2
42,200920,7216,9,8,2,2
42,202671,7634,9,8,2,2
42,184618,5979,9,8,2,2
42,182332,6486,9,8,2,2
42,157087,6053,9,8,2,2
43,154628,6123,9,8,2,2
43,151643,4986,9,8,2,2
43,157867,4576,9,8,2,2
43,174257,16750,9,8,2,2
43,153993,4540,9,8,2,2
44,146194,4551,9,8,2,2
44,188938,5041,9,8,2,2
44,174100,4072,9,8,2,2
44,178070,5013,9,8,2,2
44,153661,4505,9,8,2,2
45,150877,4350,9,8,2,2
45,153929,4408,9,8,2,2
45,149714,4238,9,8,2,2
45,152907,4537,9,8,2,2
45,151755,4566,9,8,2,2
46,150807,4583,9,8,2,2
46,152423,4318,9,8,2,2
46,151411,4318,9,8,2,2
46,151173,4221,9,8,2,2
46,165571,4487,9,8,2,2
47,152286,4621,9,8,2,2
47,152070,4489,9,8,2,2
47,151262,4649,9,8,2,2
47,146456,4079,9,8,2,2
47,151722,4386,9,8,2,2
48,174426,5076,9,8,2,2
48,179827,4827,9,8,2,2
48,166929,5114,9,8,2,2
48,193142,5202,9,8,2,2
48,316997,7212,9,8,2,2
49,173483,4543,9,8,2,2
49,154116,26296,9,8,2,2
49,153070,4664,9,8,2,2
49,153306,4453,9,8,2,2
49,151408,4308,9,8,2,2
50,178207,5034,9,8,2,2
50,178391,5092,9,8,2,2
50,154902,4400,9,8,2,2
50,196755,4891,9,8,2,2
50,154887,21054,9,8,2,2
51,178705,5242,9,8,2,2
51,155931,4433,9,8,2,2
51,148040,4261,9,8,2,2
51,165724,4245,9,8,2,2
51,151647,4287,9,8,2,2
52,153036,4437,9,8,2,2
52,149159,4343,9,8,2,2
52,149556,4353,9,8,2,2
52,153739,4399,9,8,2,2
52,154770,4462,9,8,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    161.9
    + s    0.229
              µs

Reads = 9 + (0 * s)
Writes = 2 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1     148.3     9.741    6.5%
    2     159.1     2.882    1.8%
    3     141.4     9.848    6.9%
    4     158.7     0.802    0.5%
    5     160.9     1.055    0.6%
    6     192.4     30.39   15.7%
    7     165.4     7.404    4.4%
    8     153.1     10.12    6.6%
    9     153.5     10.29    6.7%
   10     173.1     8.755    5.0%
   11     171.6     12.86    7.4%
   12     162.4     2.237    1.3%
   13     167.5     7.117    4.2%
   14     163.8     0.356    0.2%
   15       162     0.215    0.1%
   16     174.1     8.742    5.0%
   17     172.6     7.006    4.0%
   18     167.4     4.879    2.9%
   19     170.6     7.649    4.4%
   20     185.5     0.888    0.4%
   21       173      7.19    4.1%
   22     172.8     8.392    4.8%
   23     172.2     7.422    4.3%
   24     180.3     8.239    4.5%
   25     173.3     6.967    4.0%
   26     171.4     6.434    3.7%
   27     161.1     8.816    5.4%
   28     170.4     2.245    1.3%
   29     174.6     8.051    4.6%
   30     180.7     7.783    4.3%
   31     167.2     7.361    4.4%
   32       164        11    6.7%
   33     175.1     7.013    4.0%
   34     174.4     0.933    0.5%
   35     171.9     0.303    0.1%
   36     171.6     16.61    9.6%
   37       167     12.05    7.2%
   38     175.3     0.843    0.4%
   39       189       7.4    3.9%
   40     175.2     0.812    0.4%
   41     186.3     9.534    5.1%
   42     189.2     8.276    4.3%
   43     155.4     1.696    1.0%
   44     168.6     10.69    6.3%
   45     151.8     0.831    0.5%
   46     151.6     0.541    0.3%
   47     151.6      0.33    0.2%
   48     182.4     7.865    4.3%
   49     153.4     0.447    0.2%
   50     170.5     11.02    6.4%
   51     157.7     5.891    3.7%
   52     152.1     1.828    1.2%

Quality and confidence:
param     error
s         0.074

Model:
Time ~=    165.8
    + s    0.083
              µs

Reads = 9 + (0 * s)
Writes = 2 + (0 * s)
