Pallet: "pallet_checkpoint", Extrinsic: "create_schedule", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
18,255512,5714,15,11,7,2
19,292769,5038,15,11,7,2
19,261582,4836,15,11,7,2
19,294501,5267,15,11,7,2
19,285754,4877,15,11,7,2
19,292111,5619,15,11,7,2
20,281884,5009,15,11,7,2
20,290660,5354,15,11,7,2
20,276879,4984,15,11,7,2
20,289342,4985,15,11,7,2
20,226909,4493,15,11,7,2
21,262177,5086,15,11,7,2
21,291464,5591,15,11,7,2
21,261718,5002,15,11,7,2
21,289905,5518,15,11,7,2
21,238832,4412,15,11,7,2
22,265333,4946,15,11,7,2
22,262083,5721,15,11,7,2
22,225557,4314,15,11,7,2
22,226471,4554,15,11,7,2
22,275436,4928,15,11,7,2
23,228881,4663,15,11,7,2
23,221652,4586,15,11,7,2
23,240354,4635,15,11,7,2
23,265630,5171,15,11,7,2
23,277665,5220,15,11,7,2
24,227013,4476,15,11,7,2
24,264018,5067,15,11,7,2
24,284792,5300,15,11,7,2
24,265940,4916,15,11,7,2
24,277704,4844,15,11,7,2
25,292203,5461,15,11,7,2
25,265329,4763,15,11,7,2
25,263692,5001,15,11,7,2
25,265563,4421,15,11,7,2
25,296003,5478,15,11,7,2
26,305562,5712,15,11,7,2
26,267217,4944,15,11,7,2
26,266884,4912,15,11,7,2
26,335207,4770,15,11,7,2
26,293833,5276,15,11,7,2
27,286290,5163,15,11,7,2
27,276756,4761,15,11,7,2
27,281150,5138,15,11,7,2
27,264883,5011,15,11,7,2
27,276802,4915,15,11,7,2
28,309945,5802,15,11,7,2
28,266497,4923,15,11,7,2
28,279991,5282,15,11,7,2
28,266705,5322,15,11,7,2
28,290228,5795,15,11,7,2
29,231884,5745,15,11,7,2
29,308376,6233,15,11,7,2
29,232322,5154,15,11,7,2
29,259288,4906,15,11,7,2
29,225632,4410,15,11,7,2
30,268747,5125,15,11,7,2
30,279160,5187,15,11,7,2
30,267823,5436,15,11,7,2
30,269231,4977,15,11,7,2
30,266801,5341,15,11,7,2
31,248294,5016,15,11,7,2
31,268610,5044,15,11,7,2
31,267298,4917,15,11,7,2
31,299501,5881,15,11,7,2
31,227178,4399,15,11,7,2
32,230621,4715,15,11,7,2
32,300772,5684,15,11,7,2
32,297269,5492,15,11,7,2
32,269824,5121,15,11,7,2
32,280314,4511,15,11,7,2
33,267474,4982,15,11,7,2
33,287941,5369,15,11,7,2
33,270034,4972,15,11,7,2
33,280172,5059,15,11,7,2
33,286045,5104,15,11,7,2
34,268182,5934,15,11,7,2
34,235750,5436,15,11,7,2
34,275175,5647,15,11,7,2
34,236149,4915,15,11,7,2
34,273809,5678,15,11,7,2
35,225821,5257,15,11,7,2
35,271144,5258,15,11,7,2
35,233148,5091,15,11,7,2
35,296090,4483,15,11,7,2
35,280904,4946,15,11,7,2
36,287816,5438,15,11,7,2
36,271589,5093,15,11,7,2
36,233011,4483,15,11,7,2
36,233278,4616,15,11,7,2
36,286924,5064,15,11,7,2
37,233316,4303,15,11,7,2
37,271249,5522,15,11,7,2
37,269887,4946,15,11,7,2
37,234466,4313,15,11,7,2
37,271966,5389,15,11,7,2
38,269697,5000,15,11,7,2
38,232260,4359,15,11,7,2
38,269071,5123,15,11,7,2
38,271360,4834,15,11,7,2
38,269503,4926,15,11,7,2
39,270566,5059,15,11,7,2
39,276285,5717,15,11,7,2
39,239210,4977,15,11,7,2
39,240015,5068,15,11,7,2
39,275771,5245,15,11,7,2
40,316379,6428,15,11,7,2
40,235565,5176,15,11,7,2
40,277707,5821,15,11,7,2
40,236258,4946,15,11,7,2
40,273621,5288,15,11,7,2
41,286519,5332,15,11,7,2
41,272508,5173,15,11,7,2
41,298954,5234,15,11,7,2
41,268829,4939,15,11,7,2
41,233607,4507,15,11,7,2
42,252190,4433,15,11,7,2
42,272749,4916,15,11,7,2
42,275526,5263,15,11,7,2
42,235386,4246,15,11,7,2
42,236690,4516,15,11,7,2
43,250212,4442,15,11,7,2
43,269258,4549,15,11,7,2
43,294418,5017,15,11,7,2
43,229360,4540,15,11,7,2
43,236338,4796,15,11,7,2
44,289175,5549,15,11,7,2
44,303642,6563,15,11,7,2
44,287063,6002,15,11,7,2
44,242475,5016,15,11,7,2
44,276680,5479,15,11,7,2
45,243417,5600,15,11,7,2
45,278595,6642,15,11,7,2
45,282601,5290,15,11,7,2
45,272983,5640,15,11,7,2
45,296365,6141,15,11,7,2
46,241176,5333,15,11,7,2
46,278478,6083,15,11,7,2
46,241384,5948,15,11,7,2
46,276449,5689,15,11,7,2
46,278860,5927,15,11,7,2
47,286386,5480,15,11,7,2
47,264403,5238,15,11,7,2
47,282828,5070,15,11,7,2
47,234353,4483,15,11,7,2
47,271816,4311,15,11,7,2
48,235180,4322,15,11,7,2
48,273202,4790,15,11,7,2
48,236730,4435,15,11,7,2
48,263587,4516,15,11,7,2
48,245694,5078,15,11,7,2
49,240815,6011,15,11,7,2
49,296885,6147,15,11,7,2
49,239454,4918,15,11,7,2
49,317975,5383,15,11,7,2
49,278521,5202,15,11,7,2
50,287465,6690,15,11,7,2
50,277345,5821,15,11,7,2
50,285812,5441,15,11,7,2
50,269629,4540,15,11,7,2
50,281628,5714,15,11,7,2
51,277737,5790,15,11,7,2
51,237902,4814,15,11,7,2
51,316641,5647,15,11,7,2
51,252791,4648,15,11,7,2
51,280692,5237,15,11,7,2
52,243522,5045,15,11,7,2
52,314553,5743,15,11,7,2
52,277901,5682,15,11,7,2
52,280827,5808,15,11,7,2
52,289297,6074,15,11,7,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    262.9
    + s    0.187
              µs

Reads = 15 + (0 * s)
Writes = 7 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1     219.7     0.263    0.1%
    2     280.4     84.91   30.2%
    3     312.9     59.86   19.1%
    4     253.9     23.08    9.0%
    5     253.4     5.061    1.9%
    6     252.4     8.485    3.3%
    7     308.5     22.43    7.2%
    8     293.9     7.251    2.4%
    9     300.5     4.179    1.3%
   10     281.4     4.879    1.7%
   11     259.7     0.598    0.2%
   12     278.3     13.59    4.8%
   13     259.5     1.409    0.5%
   14     265.1     8.677    3.2%
   15     259.2      0.15    0.0%
   16     226.8     2.582    1.1%
   17     269.3     3.923    1.4%
   18     269.3     3.374    1.2%
   19     290.2     3.163    1.0%
   20     282.7      5.12    1.8%
   21     271.2     13.18    4.8%
   22     251.2      17.6    7.0%
   23     244.9     15.35    6.2%
   24     269.2     6.049    2.2%
   25     274.3     12.61    4.5%
   26     288.8     16.04    5.5%
   27     278.2      2.06    0.7%
   28     278.9      9.63    3.4%
   29     241.1     12.81    5.3%
   30     268.6     0.584    0.2%
   31     261.4     9.283    3.5%
   32     282.4      11.3    4.0%
   33     278.7     6.613    2.3%
   34     259.3     16.58    6.3%
   35     261.7      20.6    7.8%
   36     263.9     22.56    8.5%
   37     258.5     17.02    6.5%
   38     269.4     0.261    0.0%
   39     262.1     15.77    6.0%
   40     262.5     18.65    7.1%
   41     275.9     7.621    2.7%
   42     253.8     14.76    5.8%
   43     251.9     13.49    5.3%
   44     284.3      5.46    1.9%
   45       278     3.944    1.4%
   46     265.4     17.02    6.4%
   47       273     7.569    2.7%
   48     248.6     11.16    4.4%
   49       272     23.34    8.5%
   50     281.5     3.456    1.2%
   51     270.4     12.51    4.6%
   52     282.6     4.832    1.7%

Quality and confidence:
param     error
s         0.136

Model:
Time ~=      270
    + s        0
              µs

Reads = 15 + (0 * s)
Writes = 7 + (0 * s)
