Pallet: "pallet_settlement", Extrinsic: "execute_scheduled_instruction", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
25,68095170,10272,1904,2953,354,2
25,68998344,10695,1904,2953,354,2
25,67593333,10384,1904,2953,354,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + l     2589
              µs

Reads = 4 + (76 * l)
Writes = 4 + (14 * l)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    l   mean µs  sigma µs       %
    0     97.84     4.661    4.7%
    1      2508     29.28    1.1%
    2      5039     249.4    4.9%
    3      7352     242.7    3.3%
    4      9833     167.4    1.7%
    5     12500      63.1    0.5%
    6     15340     85.08    0.5%
    7     17820     258.4    1.4%
    8     20410     601.7    2.9%
    9     21580     144.9    0.6%
   10     24350     357.6    1.4%
   11     27600     403.3    1.4%
   12     30040     544.2    1.8%
   13     32450     195.2    0.6%
   14     34820     689.9    1.9%
   15     37560     719.9    1.9%
   16     40250      1111    2.7%
   17     43380     567.2    1.3%
   18     47100     481.1    1.0%
   19     50000      1264    2.5%
   20     51240     634.3    1.2%
   21     53560      1307    2.4%
   22     56090     338.4    0.6%
   23     61080      1839    3.0%
   24     62720      1743    2.7%
   25     69180     968.7    1.4%

Quality and confidence:
param     error
l         20.85

Model:
Time ~=        0
    + l     2646
              µs

Reads = 4 + (76 * l)
Writes = 4 + (14 * l)
